"siteid","sitename","lat","lon","is_zea_target","n_samples","n_baseline","n_test","n_taxa","bc_mean_baseline","bc_sd_baseline","threshold","has_signal","onset_age_bp","max_bc","max_bc_age","classification","pct_agricultural","pct_disturbance","pct_deciduous","pct_coniferous","pct_other","ambrosia_onset_bp","ambrosia_explosion_bp","ambrosia_precontact","ambrosia_postcontact","ambrosia_at_contact","ambrosia_phase2","ambrosia_phase2_age","max_ambrosia_pct","max_ambrosia_age","has_zea","zea_first_age_bp","zea_max_pct","zea_max_age_bp","zea_exceeds_baseline","zea_exceedance_age_bp","has_chenopod","chenopod_max_pct","recovery_signal","bc_precontact_mean","bc_postcontact_mean","bc_rerise_mean","has_rerise"
7,"Three Pines Bog",47,-80.11667,FALSE,41,24,16,48,0.1806,0.0966,0.3739,TRUE,222,0.4444,10,"H3_natural",0,2,21.7,56.5,19.8,90,6485,TRUE,FALSE,FALSE,FALSE,NA,5.25,50,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2638,0.3848,0.3892,TRUE
196,"Hells Kitchen Lake",46.185826,-89.703082,FALSE,123,21,99,68,0.1933,0.0604,0.314,TRUE,2046,0.8421,137,"H3_natural",0,1.8,15.7,49.3,33.2,1392,10090,TRUE,FALSE,TRUE,FALSE,NA,11.87,18,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.6298,0.7374,0.7338,FALSE
197,"Lake Mary",46.25,-89.9,FALSE,28,24,4,26,0.2838,0.0662,0.4162,TRUE,1675,0.4558,1675,"H3_natural",0,1.3,26.8,66.7,5.3,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,2.86,9846,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
203,"Anderson Pond",36.02963,-85.501848,FALSE,134,107,24,115,0.4554,0.1179,0.6911,TRUE,187,0.7845,142,"H3_natural",0,4.3,22.9,43.9,28.8,175,16297,TRUE,FALSE,FALSE,TRUE,NA,24.61,-22,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
208,"Lac à l'Ange",47.48167,-70.68472,FALSE,57,52,5,92,0.055,0.0493,0.1537,FALSE,NA,0.0467,1814,"no_signal",0,0.4,0.7,2.9,96,NA,10939,TRUE,FALSE,FALSE,FALSE,NA,0.04,10930,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
217,"Lac des Atocas",45.54306,-73.31111,FALSE,48,37,11,65,0.047,0.0529,0.1527,FALSE,NA,0.0267,1665,"no_signal",0,1.1,16.6,36.2,46.2,NA,11046,TRUE,FALSE,FALSE,FALSE,NA,0.17,11046,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.0136,0.0188,0.02,TRUE
219,"Axe Lake",45.38,-79.51,FALSE,37,25,11,43,0.3618,0.088,0.5377,FALSE,NA,0.4775,485,"no_signal",0,4.5,33.3,49.1,13.1,228,228,FALSE,TRUE,FALSE,FALSE,NA,5.08,-17,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
229,"Barchampe Lake",30.62222,-83.25389,TRUE,64,14,48,88,0.1768,0.0898,0.3563,TRUE,2655,0.7368,243,"H3_natural",0,1.8,9.1,76.9,12.2,42,42,FALSE,TRUE,FALSE,FALSE,NA,2.07,42,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.5882,0.5696,0.541,FALSE
232,"Barry Lake",44.3,-77.91667,TRUE,51,36,14,60,0.36,0.0667,0.4934,FALSE,NA,0.4165,13,"no_signal",0,16.2,19,49,15.8,113,10311,TRUE,FALSE,FALSE,TRUE,13,14.37,-17,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2509,0.3251,0.3372,TRUE
233,"Baseball Bog",47.23,-79.78,FALSE,40,29,10,48,0.3786,0.0659,0.5105,FALSE,NA,0.3787,1965,"no_signal",0,3.3,24,48.4,24.3,57,57,FALSE,TRUE,FALSE,FALSE,NA,3.1,57,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2098,0.2553,0.269,TRUE
235,"Lac Bastien",46.4,-78.91667,FALSE,67,48,18,73,0.0026,7e-04,0.004,TRUE,1279,0.0042,444,"H3_natural",0,0.4,36.3,23.8,39.5,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,8885,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.0035,0.0031,0.003,FALSE
245,"Beckman Lake",45.425,-93.18333,FALSE,41,9,30,80,0.3762,0.1787,0.7335,FALSE,NA,0.621,18,"no_signal",0.5,13.4,14.9,19.9,51.2,110,8659,TRUE,FALSE,FALSE,TRUE,NA,37.63,110,FALSE,NA,0,NA,FALSE,NA,TRUE,5.412,FALSE,0.4021,0.4615,0.4825,TRUE
249,"Belmont Bog",42.25,-77.91667,FALSE,46,31,15,78,0.0226,0.0192,0.061,FALSE,NA,0.0548,0,"no_signal",0,6.7,7.9,18.8,66.6,99,15286,TRUE,FALSE,FALSE,FALSE,NA,0.46,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.0213,0.0238,0.0245,TRUE
254,"Berry Pond",42.5,-73.31667,FALSE,41,31,10,47,0.3544,0.1234,0.6012,FALSE,NA,0.3707,187,"no_signal",0,14.8,32.6,24.7,27.9,187,11341,TRUE,FALSE,FALSE,FALSE,NA,7.98,84,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2805,0.3669,NA,NA
266,"Big John Pond",47.558974,-94.971068,FALSE,12,3,8,46,0.0878,0.0021,0.0921,TRUE,2868,0.5745,973,"H3_natural",0.4,18.2,4.2,44.9,32.3,56,56,FALSE,TRUE,FALSE,FALSE,NA,4.18,56,FALSE,NA,0,NA,FALSE,NA,TRUE,2.036,TRUE,0.5611,0.521,NA,NA
268,"Big Pond",39.76667,-78.55,FALSE,19,14,5,47,0.3636,0.0823,0.5281,FALSE,NA,0.4901,1350,"no_signal",0,5,27,12.4,55.6,133,133,FALSE,TRUE,FALSE,FALSE,NA,3.91,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
269,"Billy's Lake",46.270324,-94.55197,FALSE,77,44,29,75,0.2782,0.0937,0.4656,TRUE,1063,0.5369,237,"H3_natural",1.4,15.6,20.7,31.9,30.4,NA,11372,TRUE,FALSE,FALSE,FALSE,NA,14.52,9714,FALSE,NA,0,NA,FALSE,NA,TRUE,5.778,TRUE,0.4818,0.4738,0.4527,FALSE
275,"BL-Tombigbee",33.56333,-88.47444,FALSE,29,16,13,56,0.1841,0.0352,0.2545,TRUE,2603,0.6281,255,"H3_natural",0,2.4,44.7,18.2,34.7,127,10702,TRUE,FALSE,FALSE,TRUE,0,9.52,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
281,"Blue Mounds Creek",43.08333,-89.86667,FALSE,38,32,6,25,0.3464,0.1382,0.6228,FALSE,NA,0.3033,1146,"no_signal",0,8.9,26.1,35.4,29.6,NA,10603,TRUE,FALSE,FALSE,FALSE,NA,22.91,8429,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
300,"Lac Boucané",47.45778,-69.45278,FALSE,24,20,4,66,0.0474,0.0462,0.1399,FALSE,NA,0.0336,1738,"no_signal",0,1.4,3.6,9.7,85.3,NA,11187,TRUE,FALSE,FALSE,FALSE,NA,0.08,11187,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
302,"Boundary Pond",45.56667,-70.675,FALSE,56,34,22,41,0.2832,0.1102,0.5036,FALSE,NA,0.3572,1705,"no_signal",0,2.6,36,47.4,14,2094,119,FALSE,TRUE,FALSE,FALSE,NA,3.48,59,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.3104,0.3209,0.3275,TRUE
303,"Brandreth Bog",43.91667,-74.68333,FALSE,59,46,13,52,0.3404,0.0979,0.5363,FALSE,NA,0.5252,33,"no_signal",0,3.1,23.9,52.7,20.4,67,9997,TRUE,FALSE,FALSE,TRUE,NA,8.21,33,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.3997,0.4833,0.495,TRUE
305,"Brophy Ditch",43.22,-81.73,FALSE,25,13,11,40,0.3576,0.1582,0.674,FALSE,NA,0.5672,2618,"no_signal",0,2.1,18.2,31.4,48.3,2813,2813,TRUE,FALSE,TRUE,FALSE,NA,4.8,-6,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
309,"Browns Pond",38.15472,-79.61639,FALSE,51,46,4,83,0.5017,0.168,0.8376,FALSE,NA,0.7174,1993,"no_signal",0,0.5,37.3,8,54.2,1304,8744,TRUE,FALSE,TRUE,FALSE,NA,3.4,-39,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
312,"Buck Lake",27.23444,-81.33222,FALSE,33,26,7,48,0.2281,0.0738,0.3757,TRUE,1693,0.4928,1693,"H3_natural",0.2,1.6,31.4,20.2,46.6,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,2.06,8358,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.4475,0.4696,NA,NA
317,"Burden Lake",42.600272,-73.563624,FALSE,34,25,9,71,0.1543,0.0485,0.2513,FALSE,NA,0.2156,863,"no_signal",0,1,55.8,15.1,28.1,NA,8694,TRUE,FALSE,FALSE,FALSE,NA,0.61,8694,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
319,"Lac à la Busque",46.27917,-70.59583,FALSE,36,28,8,76,0.009,0.0063,0.0215,FALSE,NA,0.0089,167,"no_signal",0,4.3,20.5,16,59.2,167,12022,TRUE,FALSE,FALSE,FALSE,NA,0.01,12022,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
321,"Cahaba Pond",33.5,-86.53333,FALSE,61,52,8,85,0.2783,0.0718,0.422,TRUE,2736,0.6248,2736,"H3_natural",0,0.5,23.9,6.1,69.4,NA,13122,TRUE,FALSE,FALSE,FALSE,NA,3.06,13122,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
322,"Saint-Calixte",45.96111,-73.86806,FALSE,44,36,8,77,0.0963,0.0953,0.2868,FALSE,NA,0.0621,1636,"no_signal",0,0.6,5.6,11.9,81.9,NA,10424,TRUE,FALSE,FALSE,FALSE,NA,0.29,10350,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
324,"Camel Lake",30.26667,-85.01667,FALSE,116,109,7,127,0.5069,0.123,0.7529,FALSE,NA,0.6657,1478,"no_signal",0.4,2.4,17.9,29.4,49.9,493,11469,TRUE,FALSE,TRUE,FALSE,NA,3.85,11469,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
325,"Camp 11 Lake",46.66667,-88.01667,FALSE,37,20,17,43,0.2029,0.0656,0.334,TRUE,7,0.3731,7,"H3_natural",0,3.8,40.1,42.5,13.5,7,7,FALSE,TRUE,FALSE,TRUE,7,7.16,7,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2223,0.2738,0.2991,TRUE
330,"Tourbière Caribou",47.63972,-71.23583,FALSE,14,11,3,56,0.0043,0.0013,0.0069,FALSE,NA,0.0048,1348,"no_signal",0,0.7,15.5,16,67.9,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,0,7240,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
333,"Caribou Bog",44.93672,-68.77344,FALSE,16,12,4,55,0.3769,0.0508,0.4785,TRUE,1615,0.534,62,"H3_natural",0,2.2,20.6,29,48.1,62,6398,TRUE,FALSE,FALSE,FALSE,NA,2.35,62,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
338,"Lac Castor",46.61389,-72.99861,FALSE,48,42,6,91,0.019,0.0247,0.0684,FALSE,NA,0.0088,2719,"no_signal",0,1.2,16.3,21.5,61,1750,10675,TRUE,FALSE,FALSE,FALSE,NA,0.03,10675,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
344,"Cedar Bog",45.41111,-93.19722,FALSE,44,38,5,84,0.3795,0.1167,0.6129,FALSE,NA,0.5229,442,"no_signal",1.3,44.6,11.9,21.6,20.6,NA,7902,TRUE,FALSE,FALSE,FALSE,NA,25.47,-10,FALSE,NA,0,NA,FALSE,NA,TRUE,5.556,NA,NA,NA,NA,NA
360,"Chippewa Bog",43.12389,-83.24111,FALSE,75,56,19,45,0.1901,0.0998,0.3897,FALSE,NA,0.2456,1189,"no_signal",0,1,15.6,30.9,52.4,NA,9362,TRUE,FALSE,FALSE,FALSE,NA,0.94,9362,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
364,"Chatsworth Bog",40.67552,-88.325062,FALSE,215,207,8,108,0.5811,0.1343,0.8498,FALSE,NA,0.6968,800,"no_signal",0.1,7.2,24,8.5,60.2,NA,9180,TRUE,FALSE,FALSE,FALSE,NA,17.68,7070,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
478,"Clear Lake",43.121856,-93.439296,FALSE,53,37,15,32,0.3164,0.1433,0.603,FALSE,NA,0.3188,98,"no_signal",0,27.5,37,14.2,21.2,98,9557,TRUE,FALSE,FALSE,TRUE,NA,39.29,32,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
479,"Clear Lake",41.63794,-86.545192,FALSE,56,42,14,39,0.3421,0.13,0.6021,FALSE,NA,0.4566,92,"no_signal",0,4.7,52.1,21.9,21.2,92,9320,TRUE,FALSE,FALSE,TRUE,0,8.42,87,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
480,"Clear Pond",33.798804,-78.95349,FALSE,181,160,19,89,0.4231,0.1633,0.7496,FALSE,NA,0.6598,790,"no_signal",0,0.7,7.5,41.1,50.7,594,14904,TRUE,FALSE,TRUE,FALSE,NA,2.73,17,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.655,0.6446,0.6421,FALSE
485,"Colo Marsh",42.02,-93.27,FALSE,49,37,12,38,0.424,0.1027,0.6295,FALSE,NA,0.4978,0,"no_signal",0,2.1,11.8,22.4,63.6,1105,10345,TRUE,FALSE,FALSE,FALSE,NA,8.49,6307,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
491,"Conroy Lake",46.28932,-67.87597,FALSE,101,33,67,107,0.3176,0.1034,0.5244,TRUE,1970,0.689,1155,"H3_natural",0,8.7,18.4,19.8,53.2,102,102,FALSE,TRUE,FALSE,FALSE,NA,2.34,67,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.6318,0.5558,0.549,FALSE
496,"Lac Côté",48.96694,-65.95,FALSE,23,16,7,61,0.0016,0.0013,0.0043,TRUE,1360,0.0044,1360,"H3_natural",0,0.1,14.1,10.3,75.5,1360,1360,TRUE,FALSE,FALSE,FALSE,NA,0,1360,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
498,"Tourbière de Lanoraie COTEAU JAUNE",45.96083,-73.34194,FALSE,24,21,3,83,0.0236,0.0276,0.0788,FALSE,NA,0.0257,813,"no_signal",0,0.4,2.3,11,86.2,NA,4827,TRUE,FALSE,FALSE,FALSE,NA,0.04,4827,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
503,"Cranberry Lake",44.1,-78.1,TRUE,107,59,47,51,0.4068,0.0518,0.5104,FALSE,NA,0.4572,2292,"no_signal",0,22,33.8,29,15.3,355,12351,TRUE,FALSE,TRUE,TRUE,18,18.96,210,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.3805,0.3555,0.3756,TRUE
505,"Cranberry Glades",38.2,-80.28333,FALSE,43,34,9,61,0.492,0.0634,0.6188,FALSE,NA,0.5466,127,"no_signal",0.1,3.7,43.4,17.2,35.6,643,643,TRUE,FALSE,TRUE,FALSE,NA,6.71,127,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
506,"Crates Lake",49.18333,-81.26667,FALSE,63,41,22,65,0.2784,0.0956,0.4696,FALSE,NA,0.3979,1832,"no_signal",0,4,6.6,54.1,35.3,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,2.88,11245,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.3009,0.3363,0.3664,TRUE
507,"Crawford Lake",43.468034,-79.94889,FALSE,183,49,129,89,0.4479,0.0705,0.589,TRUE,1738,0.7448,19,"H3_natural",0,8.8,30.5,45.3,15.5,455,455,FALSE,TRUE,TRUE,TRUE,NA,32.43,9,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.62,0.6793,0.6917,TRUE
510,"Crider's Pond",39.96667,-77.55,FALSE,56,51,5,70,0.4093,0.1113,0.6319,FALSE,NA,0.5441,150,"no_signal",0,3.6,39.5,29.5,27.4,2326,2326,TRUE,FALSE,TRUE,FALSE,NA,6.25,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
518,"Cub Lake",44.7,-84.95833,FALSE,58,31,27,37,0.1642,0.1389,0.4419,TRUE,972,0.6315,19,"H3_natural",0,0.6,9.1,51.4,38.9,38,38,FALSE,TRUE,FALSE,FALSE,NA,1.75,38,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.4497,0.4336,0.4612,TRUE
525,"Cupola Pond",36.799032,-91.090148,FALSE,198,185,13,129,0.5545,0.131,0.8165,FALSE,NA,0.7392,760,"no_signal",0,1.5,19.3,25.6,53.6,NA,14290,TRUE,FALSE,FALSE,FALSE,NA,18.33,10934,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.6454,0.6667,0.7324,TRUE
531,"Dark Lake",45.275,-91.475,FALSE,39,18,20,45,0.1342,0.0394,0.213,TRUE,1510,0.3353,746,"H3_natural",0,29.6,28.2,20.5,21.8,703,659,TRUE,FALSE,TRUE,FALSE,NA,17.57,155,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2686,0.2694,0.2841,TRUE
558,"Mohawk Pond",41.810798,-73.293048,FALSE,50,41,9,86,0.324,0.0979,0.5198,FALSE,NA,0.2961,1424,"no_signal",0,9,34.9,20.3,35.8,196,9638,TRUE,FALSE,FALSE,FALSE,NA,2.75,196,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
562,"Tom Swamp",42.51667,-72.2125,FALSE,88,85,3,111,0.5118,0.0885,0.6888,FALSE,NA,0.5672,1612,"no_signal",0,4.4,7.9,28.6,59.1,200,13125,TRUE,FALSE,FALSE,FALSE,NA,3.01,200,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
